time,spatial_max,spatial_mean,spatial_min
0.0,0.973444,0.033316,-0.034385
0.05,0.9624,0.033316,-0.03141
0.1,0.951949,0.033316,-0.02877
0.15,0.942016,0.033316,-0.02642
0.2,0.932537,0.033316,-0.024321
0.25,0.923456,0.033316,-0.022441
0.3,0.914727,0.033316,-0.020752
0.35,0.906312,0.033316,-0.019231
0.4,0.898178,0.033316,-0.017856
0.45,0.890295,0.033316,-0.016611
0.5,0.88264,0.033316,-0.01548
0.55,0.875192,0.033316,-0.014451
0.6,0.867934,0.033316,-0.013511
0.65,0.86085,0.033316,-0.012652
0.7,0.853926,0.033316,-0.011863
0.75,0.847152,0.033316,-0.011139
0.8,0.840518,0.033316,-0.010472
0.85,0.834014,0.033316,-0.009856
0.9,0.827633,0.033316,-0.009287
0.95,0.821368,0.033316,-0.008759
1.0,0.815214,0.033316,-0.008269
1.05,0.809164,0.033316,-0.007813
1.1,0.803215,0.033316,-0.007388
1.15,0.797363,0.033316,-0.006991
1.2,0.791602,0.033316,-0.006817
1.25,0.78593,0.033316,-0.006699
1.3,0.780344,0.033316,-0.006583
1.35,0.774841,0.033316,-0.00647
1.4,0.769418,0.033316,-0.00636
1.45,0.764073,0.033316,-0.006252
1.5,0.758803,0.033316,-0.006147
1.55,0.753607,0.033316,-0.006044
1.6,0.748482,0.033316,-0.005944
1.65,0.743428,0.033316,-0.005846
1.7,0.738441,0.033316,-0.00575
1.75,0.733521,0.033316,-0.005656
1.8,0.728666,0.033316,-0.005565
1.85,0.723874,0.033316,-0.005475
1.9,0.719144,0.033316,-0.005387
1.95,0.714475,0.033316,-0.005302
2.0,0.709866,0.033316,-0.005218
2.05,0.705315,0.033316,-0.005135
2.1,0.700821,0.033316,-0.005055
2.15,0.696383,0.033316,-0.004975
2.2,0.692,0.033316,-0.004898
2.25,0.687671,0.033316,-0.004822
2.3,0.683395,0.033316,-0.004747
2.35,0.679171,0.033316,-0.004674
2.4,0.674998,0.033316,-0.004602
2.45,0.670875,0.033316,-0.004531
